pp,trial1,hit1,response1,outcome1,outcometype1,condition1,trial2,hit2,response2,outcome2,outcometype2,condition2
2,143,1,1,1,1,1,143,1,2,-1,2,3
2,144,0,2,1,1,1,144,0,1,-1,2,3
2,145,1,1,1,1,1,145,1,2,1,1,3
2,146,0,2,-1,2,1,146,1,2,-1,2,3
2,147,0,1,-1,2,3,147,0,1,-1,2,3
2,148,0,1,-1,2,3,148,1,2,1,1,3
2,149,NA,NA,NA,NA,3,149,0,1,-1,2,3
2,150,1,2,1,1,3,150,1,2,-1,2,3
2,151,0,1,1,1,3,151,0,1,-1,2,3
2,152,0,1,1,1,3,152,0,1,1,1,3
2,153,0,1,-1,2,3,153,1,1,1,1,1
2,154,0,1,-1,2,3,154,0,2,1,1,1
2,155,0,1,-1,2,3,155,0,2,-1,2,1
2,156,0,1,1,1,3,156,1,1,1,1,1
2,157,0,1,-1,2,3,157,0,2,-1,2,1
2,158,1,2,1,1,3,158,NA,NA,NA,NA,1
2,159,NA,NA,NA,NA,3,159,0,2,1,1,1
2,160,0,1,1,1,3,160,0,2,-1,2,1
2,161,0,1,-1,2,3,161,0,2,-1,2,1
2,162,0,1,-1,2,3,162,NA,NA,NA,NA,1
2,163,1,1,1,1,1,163,0,2,-1,2,1
2,164,1,1,1,1,1,164,1,1,1,1,1
2,165,1,1,1,1,1,165,1,1,1,1,1
2,166,0,2,-1,2,1,166,NA,NA,NA,NA,1
2,167,0,2,-1,2,1,167,0,2,-1,2,1
2,168,1,1,1,1,1,168,NA,NA,NA,NA,1
2,169,1,1,1,1,1,169,0,1,-1,2,2
2,170,0,2,-1,2,1,170,1,2,1,1,2
2,171,0,2,-1,2,1,171,0,1,-1,2,2
2,172,1,1,1,1,1,172,NA,NA,NA,NA,2
2,173,1,1,1,1,1,173,1,2,1,1,2
2,174,1,1,1,1,1,174,0,1,-1,2,2
2,175,0,2,-1,2,1,175,NA,NA,NA,NA,2
2,176,1,1,1,1,1,176,1,2,1,1,2
2,177,0,2,-1,2,1,177,NA,NA,NA,NA,2
2,178,1,1,1,1,1,178,0,1,-1,2,2
2,179,0,1,-1,2,2,179,NA,NA,NA,NA,2
2,180,1,2,1,1,2,180,NA,NA,NA,NA,2
2,181,0,1,-1,2,2,181,NA,NA,NA,NA,2
2,182,0,1,-1,2,2,182,0,1,-1,2,2
2,183,1,2,1,1,2,183,NA,NA,NA,NA,2
2,184,1,2,-1,2,2,184,1,2,1,1,2
2,185,0,1,-1,2,2,185,1,1,1,1,3
2,186,1,2,1,1,2,186,0,2,-1,2,3
2,187,0,1,1,1,2,187,1,1,1,1,3
2,188,0,1,-1,2,2,188,1,1,1,1,3
2,189,1,2,1,1,2,189,1,1,1,1,3
2,190,1,2,1,1,2,190,1,1,1,1,3
2,191,0,1,-1,2,2,191,0,2,-1,2,3
2,192,0,1,-1,2,2,192,1,1,-1,2,3
2,193,0,1,-1,2,2,193,NA,NA,NA,NA,3
2,194,0,1,-1,2,2,194,0,2,-1,2,3
2,195,1,1,-1,2,3,195,1,1,1,1,3
2,196,0,2,1,1,3,196,0,2,-1,2,3
2,197,0,2,1,1,3,197,0,2,1,1,3
2,198,0,2,-1,2,3,198,1,1,1,1,3
2,199,1,1,-1,2,3,199,0,2,1,1,3
2,200,0,2,1,1,3,200,1,1,1,1,3
2,201,1,1,1,1,3,201,1,2,1,1,2
2,202,0,2,1,1,3,202,0,1,-1,2,2
2,203,0,2,1,1,3,203,1,2,1,1,2
2,204,0,2,1,1,3,204,0,1,-1,2,2
2,205,1,1,-1,2,3,205,1,2,1,1,2
2,206,1,1,-1,2,3,206,1,2,1,1,2
2,207,0,2,1,1,3,207,0,1,1,1,2
2,208,0,2,1,1,3,208,0,1,-1,2,2
2,209,1,1,-1,2,3,209,1,2,1,1,2
2,210,0,2,-1,2,3,210,0,1,-1,2,2
2,211,1,2,1,1,2,211,0,1,1,1,2
2,212,1,2,1,1,2,212,0,1,-1,2,2
2,213,0,1,-1,2,2,213,1,2,1,1,2
2,214,1,2,1,1,2,214,1,2,1,1,2
2,215,1,2,-1,2,2,215,1,2,1,1,2
2,216,1,2,1,1,2,216,0,1,-1,2,2
2,217,0,1,-1,2,2,217,0,2,-1,2,1
2,218,0,1,-1,2,2,218,1,1,1,1,1
2,219,0,1,-1,2,2,219,1,1,1,1,1
2,220,1,2,1,1,2,220,0,2,-1,2,1
2,221,1,2,1,1,2,221,1,1,1,1,1
2,222,0,1,-1,2,2,222,0,2,-1,2,1
2,223,1,2,1,1,2,223,1,1,-1,2,1
2,224,1,2,1,1,2,224,0,2,1,1,1
2,225,1,2,-1,2,2,225,0,2,-1,2,1
2,226,1,2,1,1,2,226,1,1,1,1,1
2,227,1,1,-1,2,1,227,0,2,-1,2,1
2,228,0,2,-1,2,1,228,1,1,1,1,1
2,229,1,1,1,1,1,229,0,2,-1,2,1
2,230,0,2,-1,2,1,230,1,1,-1,2,1
2,231,1,1,-1,2,1,231,0,2,-1,2,1
2,232,0,2,-1,2,1,232,1,1,1,1,1
2,233,0,2,-1,2,1,233,0,1,1,1,3
2,234,0,2,1,1,1,234,NA,NA,NA,NA,3
2,235,1,1,1,1,1,235,1,2,-1,2,3
2,236,0,2,-1,2,1,236,NA,NA,NA,NA,3
2,237,0,2,1,1,1,237,1,2,1,1,3
2,238,0,2,-1,2,1,238,1,2,1,1,3
2,239,1,1,1,1,1,239,0,1,1,1,3
2,240,0,2,-1,2,1,240,1,2,1,1,3
2,241,0,2,-1,2,1,241,1,2,-1,2,3
2,242,0,2,-1,2,1,242,0,1,1,1,3
2,243,1,2,-1,2,3,243,1,2,1,1,3
2,244,1,2,-1,2,3,244,0,1,1,1,3
2,245,0,1,-1,2,3,245,1,2,1,1,3
2,246,1,2,-1,2,3,246,NA,NA,NA,NA,3
2,247,0,1,-1,2,3,247,1,2,-1,2,3
2,248,0,1,-1,2,3,248,0,1,1,1,3
2,249,1,2,1,1,3,249,1,1,-1,2,1
3,1,1,1,1,1,1,1,1,1,1,1,1
3,2,1,1,-1,2,1,2,1,1,1,1,1
3,3,1,1,1,1,1,3,1,1,1,1,1
3,4,1,1,-1,2,1,4,1,1,1,1,1
3,5,1,1,-1,2,1,5,1,1,1,1,1
3,6,1,1,1,1,1,6,1,1,1,1,1
3,7,1,1,-1,2,1,7,1,1,1,1,1
